                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.69979,                0.46595,                 1.0485,                 0.6814,                0.89376,                0.69979,                0.55683,                0.85745,                 0.9058,                 1.2684,             0.00060303,             0.00060303,             0.00060303
                     37,                0.70024,                0.45501,                 1.0528,                0.72918,                0.90144,                0.76904,                0.60915,                0.85094,                0.67842,                 1.2527,             0.00059403,             0.00059403,             0.00059403
                     38,                0.68545,                0.44498,                 1.0367,                0.73464,                0.90288,                  0.824,                0.63729,                0.88182,                0.69338,                   1.27,             0.00058503,             0.00058503,             0.00058503
                     39,                0.68927,                0.44488,                 1.0451,                 0.7079,                0.91096,                0.75332,                0.59266,                0.87172,                0.82402,                 1.2745,             0.00057603,             0.00057603,             0.00057603
                     40,                0.68762,                0.43274,                  1.048,                0.74568,                0.90122,                0.81603,                0.64353,                 0.8537,                0.68046,                 1.2534,             0.00056703,             0.00056703,             0.00056703
                     41,                0.68241,                0.43763,                 1.0468,                0.71097,                 0.9003,                0.78348,                 0.6183,                 0.8663,                0.75093,                  1.265,             0.00055804,             0.00055804,             0.00055804
                     42,                0.66502,                0.41298,                 1.0337,                0.72605,                0.89721,                0.78294,                0.61819,                0.84583,                0.76595,                 1.2577,             0.00054904,             0.00054904,             0.00054904
                     43,                0.66862,                0.40344,                 1.0361,                0.73964,                0.88911,                 0.7968,                0.62955,                0.85619,                 0.7555,                 1.2596,             0.00054004,             0.00054004,             0.00054004
                     44,                 0.6603,                0.41131,                 1.0235,                0.74808,                  0.894,                0.80428,                0.63696,                0.84224,                0.68421,                 1.2538,             0.00053104,             0.00053104,             0.00053104
                     45,                0.66243,                0.39742,                 1.0399,                0.71585,                0.88165,                0.76007,                0.60737,                0.85169,                0.82438,                 1.2553,             0.00052204,             0.00052204,             0.00052204
                     46,                0.66199,                 0.3992,                 1.0316,                0.75926,                0.88595,                0.82439,                0.64859,                0.85595,                0.72028,                 1.2677,             0.00051304,             0.00051304,             0.00051304
                     47,                0.65484,                 0.3948,                 1.0258,                0.75004,                0.87523,                0.80857,                0.63926,                0.84737,                0.74737,                 1.2581,             0.00050404,             0.00050404,             0.00050404
                     48,                0.64538,                0.38834,                 1.0209,                0.75803,                 0.8924,                  0.812,                0.64332,                0.85339,                0.70325,                 1.2642,             0.00049504,             0.00049504,             0.00049504
                     49,                0.63615,                0.37484,                 1.0199,                0.69845,                0.83304,                0.72096,                0.57394,                0.86099,                0.93954,                 1.2721,             0.00048604,             0.00048604,             0.00048604
                     50,                0.63793,                0.37815,                 1.0232,                0.72036,                0.85504,                0.76087,                0.60079,                0.87052,                0.88098,                 1.2798,             0.00047704,             0.00047704,             0.00047704
                     51,                0.63101,                0.37491,                 1.0128,                0.76531,                0.85916,                0.80416,                0.63525,                0.85106,                0.71312,                 1.2589,             0.00046804,             0.00046804,             0.00046804
                     52,                0.61969,                0.36423,                 1.0098,                0.73874,                0.88874,                0.78566,                0.62345,                0.85276,                0.80746,                 1.2706,             0.00045904,             0.00045904,             0.00045904
                     53,                0.61447,                0.36397,                 1.0129,                0.73326,                0.88627,                0.79348,                0.62893,                0.85078,                0.76936,                 1.2707,             0.00045005,             0.00045005,             0.00045005
                     54,                0.61483,                0.36534,                 1.0087,                0.71557,                0.87698,                0.77056,                0.61286,                0.86008,                0.81127,                 1.2778,             0.00044105,             0.00044105,             0.00044105
                     55,                0.61776,                0.36437,                 1.0091,                0.72846,                0.87202,                0.78353,                0.61799,                0.87228,                0.79072,                  1.286,             0.00043205,             0.00043205,             0.00043205
                     56,                0.60938,                0.35361,                 1.0039,                0.71492,                 0.8466,                0.74295,                0.59284,                0.86062,                0.91216,                 1.2766,             0.00042305,             0.00042305,             0.00042305
                     57,                 0.6053,                0.35199,                 1.0006,                0.76235,                0.89068,                0.82402,                0.64571,                0.86357,                 0.7237,                 1.2863,             0.00041405,             0.00041405,             0.00041405
                     58,                0.59644,                0.33664,                 0.9908,                 0.7239,                0.86024,                0.76936,                 0.6152,                0.85715,                0.85546,                 1.2789,             0.00040505,             0.00040505,             0.00040505
                     59,                0.60282,                 0.3447,                0.99927,                0.71389,                0.85537,                0.76293,                0.60726,                0.85848,                0.84663,                 1.2955,             0.00039605,             0.00039605,             0.00039605
                     60,                0.58418,                0.33572,                0.99001,                0.70593,                0.84845,                0.73215,                0.58422,                0.85337,                0.95298,                 1.3006,             0.00038705,             0.00038705,             0.00038705
                     61,                0.58644,                0.33046,                0.98956,                0.72863,                0.88036,                0.76402,                0.60096,                0.87165,                0.83578,                  1.293,             0.00037805,             0.00037805,             0.00037805
                     62,                 0.5755,                0.33048,                0.98604,                 0.7875,                0.88717,                0.85213,                0.67171,                0.85189,                0.66474,                 1.2892,             0.00036905,             0.00036905,             0.00036905
                     63,                0.57878,                0.34142,                0.98844,                0.82326,                0.84787,                0.86405,                 0.6807,                0.86114,                0.64978,                 1.3015,             0.00036005,             0.00036005,             0.00036005
